Sales Date,Business Unit,Discount_amount,promos
2020-02-04,Surface Pro,306,1
2020-02-05,Surface Pro,306,1
2020-02-06,Surface Pro,306,1
2020-02-07,Surface Pro,306,1
2020-02-08,Surface Pro,306,1
2020-02-09,Surface Pro,306,1
2020-02-10,Surface Pro,306,1
2020-02-11,Surface Pro,306,1
2020-02-12,Surface Pro,306,1
2020-02-13,Surface Pro,306,1
2020-02-14,Surface Pro,306,1
2020-02-15,Surface Pro,306,1
2020-02-16,Surface Pro,306,1
2020-02-17,Surface Pro,306,1
2020-02-18,Surface Pro,306,1
2020-02-19,Surface Pro,306,1
2020-02-20,Surface Pro,306,1
2020-02-21,Surface Pro,306,1
2020-02-22,Surface Pro,306,1
2020-02-23,Surface Pro,306,1
2020-02-24,Surface Pro,306,1
2020-02-25,Surface Pro,306,1
2020-02-26,Surface Pro,306,1
2020-02-27,Surface Pro,306,1
2020-02-28,Surface Pro,306,1
2020-02-29,Surface Pro,306,1
2020-03-01,Surface Pro,306,1
2020-03-02,Surface Pro,306,1
2020-03-03,Surface Pro,306,1
2020-03-04,Surface Pro,306,1
2020-03-05,Surface Pro,306,1
2020-03-06,Surface Pro,306,1
2020-03-07,Surface Pro,306,1
2020-03-08,Surface Pro,306,1
2020-03-09,Surface Pro,306,1
2020-03-10,Surface Pro,306,1
2020-03-11,Surface Pro,306,1
2020-03-12,Surface Pro,306,1
2020-03-13,Surface Pro,306,1
2020-03-14,Surface Pro,306,1
2020-03-15,Surface Pro,306,1
2020-03-16,Surface Pro,306,1
2020-03-17,Surface Pro,306,1
2020-03-18,Surface Pro,306,1
2020-03-19,Surface Pro,306,1
2020-03-20,Surface Pro,306,1
2020-03-21,Surface Pro,306,1
2020-03-22,Surface Pro,306,1
2020-03-23,Surface Pro,306,1
2020-03-24,Surface Pro,306,1
2020-03-25,Surface Pro,306,1
2020-03-26,Surface Pro,306,1
2020-03-27,Surface Pro,306,1
2020-03-28,Surface Pro,306,1
2020-03-29,Surface Pro,306,1
2020-03-30,Surface Pro,306,1
2020-03-31,Surface Pro,306,1
